episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,3757,-161.2726,-161.2726,3757,0,0,1,0,0.4916,1.82,collision,15.8,-0.022675,0.430795,-0.867165,0.875857,2.981906,1.440584,0.060391,5.949763,0.466022,0.440641,-1.0,1.001545,,,,,,,,,,,,,0,gru
2,7594,-323.1239,-242.1983,3837,0,0,1,0,0.7505,1.826,collision,31.9,-0.026911,0.424475,-0.887398,0.857192,2.957564,1.439396,0.040004,5.928999,0.466182,0.441406,-1.0,1.0,,,,,,,,,,,,,0,gru
3,11594,-974.349,-486.2485,4000,0,0,0,1,1.5057,1.82,max_steps,46.8,-0.035436,0.43176,-0.887685,0.88304,2.969535,1.433919,0.050814,5.902341,0.48993,0.426814,-0.67111,1.0,,,,,,,,,,,,,0,gru
4,15426,-714.6689,-543.3536,3832,0,0,1,0,1.2184,1.824,collision,64.9,-0.023984,0.427331,-0.876825,0.877584,2.942438,1.429685,0.035739,5.910997,0.452987,0.455751,-1.0,1.0,0.022589,5.16932,2.193892,0.009999,3.017042,0.392331,0.487487,0.000185,,,,,0,gru
5,19008,-1096.2829,-653.9395,3582,0,0,1,0,2.1965,1.849,collision,80.9,-0.033782,0.423256,-0.871409,0.867336,3.016542,1.428765,0.06369,5.87944,0.448138,0.461149,-1.0,1.001813,,,,,,,,,,,,,0,gru
6,23008,-1071.514,-723.5352,4000,0,0,0,1,1.7963,1.836,max_steps,98.1,-0.03512,0.425638,-0.878713,0.883496,2.994354,1.44075,0.05359,5.898765,0.448468,0.458306,-1.0,1.0,,,,,,,,,,,,,0,gru
7,25824,-1040.7681,-768.8542,2816,0,0,1,0,2.7999,1.817,collision,110.6,-0.040458,0.432068,-0.871184,0.886239,2.945027,1.425005,0.104747,5.868401,0.444429,0.461681,-1.0,1.0093,,,,,,,,,,,,,0,gru
8,29824,-765.8419,-768.4777,4000,0,0,0,1,0.9594,1.829,max_steps,131.5,-0.042826,0.426714,-0.880417,0.879958,2.987129,1.430867,0.101195,5.945351,0.498817,0.420391,-0.684318,1.0,0.020588,3.624139,2.183108,0.009996,1.994777,0.862147,1.574578,0.000245,,,,,0,gru
9,33538,-142.9602,-698.9757,3714,0,0,1,0,0.4917,1.838,collision,148.4,-0.019398,0.431641,-0.881807,0.857597,3.005677,1.422922,0.05065,5.893474,0.470741,0.436804,-1.0,1.0,,,,,,,,,,,,,0,gru
10,37404,-372.1418,-666.2923,3866,0,0,1,0,0.6402,1.824,collision,166.0,-0.018001,0.428885,-0.879031,0.883825,2.936982,1.428452,0.077902,5.933576,0.489296,0.418142,-0.498859,1.008703,,,,,,,,,,,,,0,gru
