episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,td_error,grad_norm_actor,grad_norm_critic,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,2037,-2000.5894,-2000.5894,2037,0,0,0,0,2.5531,1.477,low_score,9.8,0.026754,0.556116,-0.896838,0.899337,2.799337,1.833995,0.006334,5.974531,0.504707,0.449177,-0.555931,1.0,-1.183542,0.416115,2.345753,0.49931,0.640495,0.15762,1.271248,6.5e-05,6.5e-05,0.49931,-2.323179,0.001027,128,gru
2,4143,-2000.2633,-2000.4264,2106,0,0,0,0,2.3028,1.522,low_score,19.6,0.004308,0.546112,-0.894851,0.89913,2.86695,1.808125,0.013655,5.977411,0.509989,0.442519,-0.44051,1.009638,-1.25926,0.34369,2.357474,0.497855,0.580942,0.097125,1.176727,8e-05,8e-05,0.497855,-2.34099,0.00294,260,gru
3,6100,-2000.3158,-2000.3895,1957,0,0,0,0,2.8231,1.623,low_score,29.2,-0.021589,0.514138,-0.893192,0.88809,2.964481,1.686554,0.026568,5.961494,0.48696,0.469669,-0.955776,1.0,-1.367493,0.229266,2.358186,0.496106,0.465044,0.045717,1.01628,9.5e-05,9.5e-05,0.496106,-2.353172,0.00523,383,gru
4,8075,-2000.7592,-2000.4819,1975,0,0,0,0,2.2636,1.769,low_score,38.7,-0.106835,0.50039,-0.895247,0.88817,3.947072,1.786488,0.008086,5.987152,0.502657,0.448642,-0.999998,1.0,-1.618737,0.085861,2.352059,0.494067,0.247819,0.031959,0.581077,0.00011,0.00011,0.494067,-2.362562,0.008117,507,gru
5,10298,-2000.5281,-2000.4912,2223,0,0,0,0,1.726,1.646,low_score,48.5,-0.003922,0.53284,-0.893375,0.893562,3.24179,1.777823,0.022969,5.983438,0.509227,0.440068,-0.278613,1.008147,-1.840676,0.033255,2.350467,0.491741,0.124603,0.039755,0.3055,0.000125,0.000125,0.491741,-2.377125,0.009281,646,gru
6,12544,-2000.0574,-2000.4189,2246,0,0,0,0,1.5952,1.635,low_score,58.4,0.000151,0.539705,-0.89684,0.896504,3.229614,1.767232,0.020438,5.989764,0.508345,0.439439,-0.22869,1.0,-1.80512,0.020391,2.353021,0.489133,0.102209,0.035932,0.11878,0.00014,0.00014,0.489133,-2.39665,0.009185,787,gru
7,14588,-2000.658,-2000.453,2044,0,0,0,0,2.489,1.637,low_score,67.9,-0.016353,0.529201,-0.898116,0.89526,3.179981,1.77121,0.019367,5.985316,0.506259,0.448196,-0.635084,1.011617,-1.816908,0.011686,2.358566,0.486247,0.075212,0.034009,0.068842,0.000155,0.000155,0.486247,-2.420362,0.009432,915,gru
8,16832,-2000.0382,-2000.4012,2244,0,0,0,0,1.6052,1.614,low_score,77.7,0.001648,0.520938,-0.895179,0.895114,3.049795,1.761547,0.023301,5.978294,0.512355,0.434747,-0.177791,1.0,-1.823972,0.00902,2.359523,0.483088,0.06484,0.027557,0.030876,0.00017,0.00017,0.483088,-2.442824,0.009703,1056,gru
9,19021,-2000.3329,-2000.3936,2189,0,0,0,0,1.7673,1.622,low_score,87.4,-0.006055,0.533494,-0.898268,0.893833,3.075848,1.750042,0.019954,5.976225,0.516193,0.431444,-0.438198,1.0,-1.823752,0.008573,2.360027,0.479661,0.062922,0.029537,0.028424,0.000185,0.000185,0.479661,-2.466983,0.01004,1193,gru
10,21172,-2000.7792,-2000.4321,2151,0,0,0,0,1.9466,1.596,low_score,97.2,0.012299,0.527584,-0.892962,0.898171,2.989805,1.763155,0.006866,5.987368,0.499219,0.451709,-0.542709,1.0,-1.818777,0.007536,2.360774,0.475973,0.059566,0.037777,0.018975,0.0002,0.0002,0.475973,-2.493347,0.010323,1328,gru
