global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
10861,3,-1.165129,1.074546,2.309825,,1.030977,0.324174,1.941197,0.0005,0.0001,0.4995,-2.710084,0.000663,gru
10861,3,-1.183141,1.074727,2.335581,,1.032841,0.233866,1.954788,0.0005,0.0001,0.499001,-2.731873,0.001305,gru
10861,3,-1.19934,1.145459,2.358742,,1.071181,0.1481,1.994973,0.0005,0.0001,0.498502,-2.751909,0.001926,gru
10861,3,-1.198885,1.140849,2.346905,,1.070603,0.100383,2.023063,0.0005,0.0001,0.498004,-2.747628,0.00253,gru
14345,4,-1.205114,1.014689,2.350094,,1.007479,0.089204,2.007334,0.0005,0.0001,0.497506,-2.7538,0.00312,gru
14345,4,-1.212092,1.195646,2.355351,,1.098554,0.098505,2.005733,0.0005,0.0001,0.497008,-2.761423,0.003697,gru
14345,4,-1.216711,1.00844,2.356226,,1.00533,0.040991,2.001512,0.0005,0.0001,0.496511,-2.765992,0.004262,gru
14345,4,-1.221097,2.031082,2.353525,,1.5172,0.051409,2.001,0.0005,0.0001,0.496014,-2.768059,0.004816,gru
18345,5,-1.227601,1.122519,2.35772,,1.063436,0.039394,2.021991,0.0005,0.0001,0.495518,-2.774956,0.005358,gru
18345,5,-1.228115,1.100143,2.351766,,1.051961,0.124877,2.011414,0.0005,0.0001,0.495023,-2.774736,0.005891,gru
18345,5,-1.23397,1.003079,2.354289,,1.003131,0.141781,1.994428,0.0005,0.0001,0.494528,-2.780465,0.006416,gru
18345,5,-1.240293,0.977785,2.357355,,0.990643,0.09183,1.997225,0.0005,0.0001,0.494033,-2.78658,0.006934,gru
22345,6,-1.240987,1.037139,2.350634,,1.020829,0.129773,2.018538,0.0005,0.0001,0.493539,-2.785801,0.007443,gru
22345,6,-1.247582,1.050546,2.351787,,1.027648,0.084017,2.015617,0.0005,0.0001,0.493045,-2.790568,0.007946,gru
22345,6,-1.258074,1.880952,2.357892,,1.44176,0.103206,1.990037,0.0005,0.0001,0.492552,-2.798839,0.008442,gru
22345,6,-1.259642,0.963649,2.352883,,0.983789,0.062394,2.010815,0.0005,0.0001,0.49206,-2.799253,0.008932,gru
26345,7,-1.265444,0.985962,2.356036,,0.995938,0.062965,2.030149,0.0005,0.0001,0.491568,-2.805444,0.009416,gru
26345,7,-1.272713,1.209762,2.360905,,1.106339,0.050968,1.999296,0.0005,0.0001,0.491076,-2.81286,0.009894,gru
26345,7,-1.276086,0.940697,2.353215,,0.972767,0.032639,2.031665,0.0005,0.0001,0.490585,-2.811354,0.010366,gru
26345,7,-1.279727,0.942005,2.353388,,0.973079,0.065478,2.020337,0.0005,0.0001,0.490094,-2.815434,0.010832,gru
30345,8,-1.291267,0.90049,2.363277,,0.952869,0.03335,2.038211,0.0005,0.0001,0.489604,-2.826442,0.011294,gru
30345,8,-1.296731,0.866594,2.360417,,0.93534,0.036395,2.047414,0.0005,0.0001,0.489114,-2.828365,0.011752,gru
30345,8,-1.306015,0.91068,2.363218,,0.95688,0.053267,2.034015,0.0005,0.0001,0.488625,-2.834332,0.012208,gru
30345,8,-1.306614,0.840312,2.35478,,0.920284,0.02622,2.008934,0.0005,0.0001,0.488136,-2.832256,0.012661,gru
34345,9,-1.313936,1.030611,2.354525,,1.016913,0.048444,2.034032,0.0005,0.0001,0.487648,-2.836031,0.013112,gru
