episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,3045,-592.9526,-592.9526,3045,0,0,1,0,3.0871,1.516,collision,13.1,0.016344,0.54111,-0.898749,0.898595,3.051423,1.952329,0.005772,5.996403,0.441732,0.460439,-0.899765,1.012758,,,,,,,,,,,,,96,gru
2,6861,691.7646,49.406,3816,1,1,0,0,0.2957,1.538,goal,31.4,0.01815,0.537185,-0.898233,0.896517,3.098564,1.941166,0.000774,5.997727,0.497801,0.440763,-0.267611,1.0,,,,,,,,,,,,,216,gru
3,10861,-531.4066,-144.1982,4000,0,0,0,1,2.1203,1.552,max_steps,47.1,0.02039,0.537745,-0.898496,0.895613,3.161626,1.941236,0.004097,5.996114,0.463954,0.470492,-0.975816,1.0,-1.186624,1.108895,2.337763,,1.0514,0.201631,1.978505,0.0005,0.0001,0.498752,-2.735374,0.001606,341,gru
4,14345,-592.6771,-256.3179,3484,0,0,1,0,2.6594,1.595,collision,61.0,0.001483,0.533336,-0.897796,0.895234,3.089667,1.819378,0.002829,5.999701,0.460227,0.445372,-0.697658,1.002269,-1.213754,1.312464,2.353799,,1.157141,0.070027,2.003895,0.0005,0.0001,0.49676,-2.762319,0.003974,450,gru
5,18345,89.1192,-187.2305,4000,0,0,0,1,0.4559,1.627,max_steps,75.9,0.014693,0.519093,-0.891172,0.89689,3.035744,1.727296,0.007913,5.979042,0.482802,0.433225,-0.499313,1.0,-1.232495,1.050882,2.355283,,1.027293,0.09947,2.006264,0.0005,0.0001,0.494775,-2.779184,0.00615,575,gru
6,22345,-277.7554,-202.318,4000,0,0,0,1,1.0842,1.635,max_steps,90.6,0.015602,0.518985,-0.895974,0.894322,2.974652,1.698399,0.018708,5.979266,0.492596,0.431949,-0.396856,1.0,-1.251571,1.233072,2.353299,,1.118506,0.094848,2.008752,0.0005,0.0001,0.492799,-2.793615,0.008191,700,gru
7,26345,-320.0896,-219.1425,4000,0,0,0,1,1.1949,1.624,max_steps,105.6,0.025732,0.53282,-0.897585,0.894696,3.110593,1.740518,0.016466,5.997502,0.491601,0.439243,-0.474187,1.0,-1.273493,1.019606,2.355886,,1.012031,0.053012,2.020362,0.0005,0.0001,0.490831,-2.811273,0.010127,825,gru
8,30345,-414.2413,-243.5299,4000,0,0,0,1,1.3604,1.631,max_steps,120.8,0.013745,0.528101,-0.894351,0.897661,3.126367,1.75414,0.011431,5.98883,0.493147,0.434193,-0.418691,1.0,-1.300157,0.879519,2.360423,,0.941343,0.037308,2.032144,0.0005,0.0001,0.48887,-2.830349,0.011979,950,gru
9,34345,-491.0752,-271.0349,4000,0,0,0,1,1.8493,1.621,max_steps,135.6,-0.005089,0.531219,-0.897707,0.897077,3.165003,1.797109,0.015226,5.992693,0.498315,0.441878,-0.578874,1.0,-1.323652,0.853758,2.354187,,0.92656,0.043509,2.017335,0.0005,0.0001,0.486917,-2.841723,0.013786,1075,gru
10,38345,-533.9762,-297.329,4000,0,0,0,1,2.1105,1.636,max_steps,151.2,-0.005962,0.534526,-0.895438,0.895923,3.169343,1.758726,0.02235,5.987788,0.462241,0.46672,-1.0,1.0,-1.354496,0.731403,2.355987,,0.861378,0.050235,1.991851,0.0005,0.0001,0.484972,-2.858848,0.015584,1200,gru
11,42345,-515.4655,-289.5803,4000,0,0,0,1,1.8989,1.622,max_steps,165.9,-0.011455,0.52925,-0.898054,0.898674,3.153763,1.782857,0.009614,5.988935,0.473453,0.46815,-1.0,1.003915,-1.392054,0.688394,2.360533,,0.836524,0.048306,2.017688,0.0005,0.0001,0.483034,-2.877989,0.017392,1325,gru
12,46345,-528.7038,-411.6271,4000,0,0,0,1,2.0006,1.632,max_steps,180.9,0.011304,0.524266,-0.896003,0.894486,3.149159,1.781066,0.018566,5.995524,0.491703,0.442153,-0.567683,1.0,-1.435301,0.620651,2.354999,,0.794844,0.04177,2.013011,0.0005,0.0001,0.481105,-2.889799,0.019221,1450,gru
13,49982,695.6236,-288.9241,3637,1,1,0,0,0.2947,1.654,goal,194.3,0.016758,0.526876,-0.898713,0.89611,3.189538,1.741019,0.024749,5.979213,0.496454,0.440753,-0.296226,1.0,-1.491359,0.522431,2.35111,,0.733119,0.040456,2.017854,0.0005,0.0001,0.479183,-2.902771,0.02109,1564,gru
14,53982,-497.0629,-279.3627,4000,0,0,0,1,1.7574,1.653,max_steps,209.3,0.019826,0.523296,-0.897712,0.893353,3.180942,1.744374,0.013217,5.988892,0.494714,0.440999,-0.491475,1.0,-1.569498,0.42514,2.353779,,0.662847,0.038031,1.998617,0.0005,0.0001,0.47727,-2.920549,0.023009,1689,gru
