global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
8000,2,-1.099703,1.081651,2.302616,,1.012227,0.365571,1.868923,0.0005,0.0001,0.4995,-2.705087,0.000664,gru
8000,2,-1.108676,1.099702,2.308069,,1.023669,0.332435,1.922207,0.0005,0.0001,0.499001,-2.712775,0.001305,gru
12000,3,-1.108794,1.125813,2.299607,,1.041382,0.364157,1.931222,0.0005,0.0001,0.498502,-2.710801,0.001935,gru
12000,3,-1.129437,1.078151,2.331349,,1.019312,0.283248,1.96566,0.0005,0.0001,0.498004,-2.736798,0.002552,gru
16000,4,-1.135942,1.097361,2.335639,,1.030873,0.220541,1.940878,0.0005,0.0001,0.497506,-2.743721,0.003155,gru
16000,4,-1.150759,1.092468,2.356061,,1.028181,0.153853,2.002488,0.0005,0.0001,0.497008,-2.761915,0.003745,gru
20000,5,-1.15029,1.069954,2.346203,,1.018868,0.152082,1.971569,0.0005,0.0001,0.496511,-2.758983,0.004323,gru
20000,5,-1.162574,1.083875,2.359112,,1.027508,0.114328,2.013381,0.0005,0.0001,0.496014,-2.771971,0.004889,gru
24000,6,-1.169112,1.096275,2.365608,,1.032987,0.093276,1.997626,0.0005,0.0001,0.495518,-2.78049,0.005444,gru
24000,6,-1.167414,1.022,2.351238,,0.995626,0.093605,1.974288,0.0005,0.0001,0.495022,-2.774371,0.00599,gru
28000,7,-1.1747,1.008008,2.357099,,0.988146,0.098935,1.950785,0.0005,0.0001,0.494526,-2.78245,0.006525,gru
28000,7,-1.173389,0.999829,2.344863,,0.983642,0.122689,1.951998,0.0005,0.0001,0.494031,-2.777797,0.007051,gru
32000,8,-1.176125,0.950201,2.341464,,0.958291,0.107634,1.916205,0.0005,0.0001,0.493537,-2.779351,0.007566,gru
32000,8,-1.184696,0.972928,2.346798,,0.969863,0.136627,1.929244,0.0005,0.0001,0.493043,-2.787064,0.008072,gru
36000,9,-1.195554,0.91635,2.3611,,0.940279,0.069751,1.936554,0.0005,0.0001,0.492549,-2.80113,0.008569,gru
36000,9,-1.199722,0.976227,2.360918,,0.969738,0.110609,1.884175,0.0005,0.0001,0.492056,-2.804967,0.009058,gru
40000,10,-1.2021,0.936989,2.35499,,0.949548,0.099316,1.916401,0.0005,0.0001,0.491563,-2.804731,0.009538,gru
40000,10,-1.204942,0.912364,2.350082,,0.93737,0.136297,1.881869,0.0005,0.0001,0.491071,-2.805207,0.010011,gru
44000,11,-1.218325,0.852573,2.365567,,0.905602,0.115569,1.88469,0.0005,0.0001,0.49058,-2.820175,0.010476,gru
44000,11,-1.21571,0.841876,2.345831,,0.899015,0.08052,1.896314,0.0005,0.0001,0.490089,-2.810092,0.010935,gru
47610,12,-1.221711,0.882658,2.348782,,0.919933,0.019865,1.884946,0.0005,0.0001,0.489598,-2.816148,0.011387,gru
