episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,4000,-675.084,-675.084,4000,0,0,0,1,2.0253,1.503,max_steps,14.1,0.013309,0.573685,-0.898525,0.898704,3.171054,1.963454,0.002033,5.99789,0.49469,0.445106,-0.585115,1.0,,,,,,,,,,,,,250,gru
2,8000,-143.1938,-409.1389,4000,0,0,0,1,0.3311,1.509,max_steps,24.3,0.020982,0.574341,-0.898756,0.899102,3.166615,1.968509,0.001066,5.998269,0.492282,0.446823,-0.475131,1.0,-1.104189,1.090677,2.305342,,1.017948,0.349003,1.895565,0.0005,0.0001,0.499251,-2.708931,0.000984,500,gru
3,12000,-115.302,-311.1932,4000,0,0,0,1,0.314,1.519,max_steps,38.1,0.030062,0.561196,-0.896671,0.898188,3.117593,1.930406,0.004441,5.995152,0.491632,0.444433,-0.414689,1.0,-1.119115,1.101982,2.315478,,1.030347,0.323703,1.948441,0.0005,0.0001,0.498253,-2.723799,0.002243,750,gru
4,16000,-342.5657,-319.0364,4000,0,0,0,1,0.6212,1.55,max_steps,53.0,0.029409,0.551865,-0.896866,0.897522,3.113481,1.881236,0.001177,5.996212,0.471739,0.472767,-0.779905,1.0,-1.143351,1.094915,2.34585,,1.029527,0.187197,1.971683,0.0005,0.0001,0.497257,-2.752818,0.00345,1000,gru
5,20000,-565.6568,-368.3604,4000,0,0,0,1,1.2987,1.583,max_steps,67.0,0.012713,0.54004,-0.898692,0.899289,3.052779,1.793055,0.011356,5.997164,0.473225,0.472168,-0.95717,1.0,-1.156432,1.076915,2.352657,,1.023188,0.133205,1.992475,0.0005,0.0001,0.496262,-2.765477,0.004606,1250,gru
6,24000,-728.0618,-428.3107,4000,0,0,0,1,2.3087,1.607,max_steps,77.3,0.011921,0.536029,-0.898095,0.896769,3.044818,1.753215,0.022122,5.983973,0.447677,0.465613,-1.0,1.0,-1.168263,1.059138,2.358423,,1.014306,0.09344,1.985957,0.0005,0.0001,0.49527,-2.777431,0.005717,1500,gru
7,28000,-171.5044,-391.6241,4000,0,0,0,1,0.6731,1.603,max_steps,86.7,0.022625,0.525581,-0.892399,0.897955,2.97413,1.734397,0.011863,5.993977,0.492277,0.43398,-0.344023,1.0,-1.174044,1.003918,2.350981,,0.985894,0.110812,1.951391,0.0005,0.0001,0.494278,-2.780123,0.006788,1750,gru
8,32000,-705.3746,-430.8429,4000,0,0,0,1,2.0703,1.612,max_steps,96.4,0.03123,0.514181,-0.897533,0.898587,2.973318,1.745549,0.02342,5.997091,0.469852,0.447826,-0.63239,1.0,-1.18041,0.961565,2.344131,,0.964077,0.122131,1.922724,0.0005,0.0001,0.49329,-2.783208,0.007819,2000,gru
9,36000,-480.465,-436.3565,4000,0,0,0,1,1.1195,1.602,max_steps,106.1,0.005893,0.517491,-0.897874,0.894296,2.935779,1.733632,0.003728,5.984546,0.468514,0.464445,-0.966545,1.0,-1.197638,0.946288,2.361009,,0.955008,0.09018,1.910365,0.0005,0.0001,0.492303,-2.803048,0.008814,2250,gru
10,40000,-616.5205,-454.3729,4000,0,0,0,1,1.5311,1.627,max_steps,118.6,0.016167,0.522127,-0.898465,0.897563,3.02247,1.710797,0.010724,5.989173,0.472627,0.474826,-0.991401,1.004972,-1.203521,0.924677,2.352536,,0.943459,0.117807,1.899135,0.0005,0.0001,0.491317,-2.804969,0.009775,2500,gru
11,44000,-14.2822,-388.2927,4000,0,0,0,1,0.4229,1.627,max_steps,132.6,0.008178,0.523988,-0.895625,0.892534,3.088151,1.757026,0.02287,5.988212,0.486687,0.424015,-0.490995,1.0,-1.217017,0.847224,2.355699,,0.902308,0.098045,1.890502,0.0005,0.0001,0.490334,-2.815133,0.010705,2750,gru
12,47610,-855.6,-459.5333,3610,0,0,1,0,2.4728,1.618,collision,148.1,0.030209,0.526141,-0.895393,0.896902,3.078926,1.768057,0.004426,5.994061,0.460598,0.447215,-0.678705,1.000814,-1.228541,0.897598,2.357451,,0.926785,0.042792,1.884533,0.0005,0.0001,0.489353,-2.824316,0.01161,2976,gru
13,51610,-195.4543,-467.5485,4000,0,0,0,1,0.7672,1.613,max_steps,165.3,0.025941,0.53713,-0.892859,0.898312,3.159009,1.786194,0.006001,5.991527,0.48668,0.431339,-0.448798,1.0,-1.238046,0.853695,2.353257,,0.901982,0.090144,1.852089,0.0005,0.0001,0.488374,-2.829239,0.012494,3226,gru
14,55610,-156.2175,-448.9137,4000,0,0,0,1,0.6192,1.602,max_steps,180.5,0.03266,0.534274,-0.89877,0.894696,3.107306,1.788819,0.021633,5.994595,0.483874,0.452369,-0.524534,1.001138,-1.25078,0.849903,2.352387,,0.899442,0.073589,1.860182,0.0005,0.0001,0.487397,-2.83653,0.013361,3476,gru
15,59610,-183.4676,-410.6948,4000,0,0,0,1,0.7153,1.6,max_steps,193.6,0.029044,0.535872,-0.893476,0.898588,3.103652,1.778854,0.018924,5.981507,0.490671,0.444327,-0.435995,1.010038,-1.261899,0.902585,2.352309,,0.925065,0.066682,1.852435,0.0005,0.0001,0.486422,-2.844394,0.014217,3726,gru
16,63610,-628.1065,-400.6993,4000,0,0,0,1,1.6506,1.608,max_steps,206.9,0.026956,0.530348,-0.896006,0.897953,3.116494,1.804255,0.006603,5.993855,0.493591,0.443558,-0.469472,1.0,-1.276127,0.831397,2.349491,,0.887776,0.065377,1.883101,0.0005,0.0001,0.485449,-2.850277,0.015065,3976,gru
17,67610,-455.3898,-429.0878,4000,0,0,0,1,1.1994,1.604,max_steps,219.9,0.028672,0.528204,-0.896786,0.897475,3.08954,1.79595,0.021017,5.987785,0.499002,0.438645,-0.422006,1.00883,-1.292721,0.756135,2.360094,,0.847177,0.079851,1.885734,0.0005,0.0001,0.484477,-2.865853,0.01591,4226,gru
18,71503,-895.7175,-448.1221,3893,0,0,1,0,2.331,1.621,collision,232.5,0.007534,0.525421,-0.89481,0.897167,3.134081,1.793952,0.008635,5.992797,0.462821,0.443887,-0.629083,1.0,-1.309947,0.725716,2.357929,,0.829616,0.058048,1.889864,0.0005,0.0001,0.483508,-2.872212,0.016754,4470,gru
19,75503,-576.9471,-457.7703,4000,0,0,0,1,1.3663,1.615,max_steps,245.7,0.013717,0.529112,-0.894868,0.897462,3.081821,1.77876,0.005779,5.997308,0.466822,0.472455,-0.988912,1.0,-1.330045,0.714959,2.361869,,0.822249,0.046837,1.897053,0.0005,0.0001,0.482541,-2.883007,0.017604,4720,gru
20,79024,-851.9152,-481.3098,3521,0,0,1,0,2.5495,1.614,collision,257.2,0.014081,0.524772,-0.895518,0.897057,3.082635,1.793684,0.020319,5.99254,0.456704,0.450795,-0.741403,1.007368,-1.340433,0.621771,2.346929,,0.768501,0.073389,1.850542,0.0005,0.0001,0.481575,-2.880041,0.018462,4941,gru
21,82539,-844.0197,-564.2835,3515,0,0,1,0,2.664,1.612,collision,268.5,0.00603,0.534152,-0.894023,0.893826,3.145954,1.781407,0.004434,5.990916,0.439803,0.463708,-1.0,1.01294,-1.366232,0.606961,2.355859,,0.759024,0.045146,1.890283,0.0005,0.0001,0.480612,-2.894479,0.019333,5161,gru
22,86539,-70.4973,-485.7733,4000,0,0,0,1,0.5562,1.609,max_steps,282.3,-0.009077,0.529437,-0.897547,0.896653,3.107571,1.793327,0.009353,5.987251,0.480335,0.444608,-0.999999,1.0,-1.389913,0.582226,2.359881,,0.742253,0.058487,1.896994,0.0005,0.0001,0.47965,-2.905353,0.020216,5411,gru
