episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,122,-10.5046,-10.5046,122,0,0,1,0,3.6215,1.893,collision,1.4,0.111042,0.505134,-0.833414,0.864407,4.737325,1.196207,0.847151,5.986249,0.396841,0.389031,-0.297434,1.0,,,,,,,,,,,,,,0,gru
2,237,-14.072,-12.2883,115,0,0,1,0,3.63,2.074,collision,2.5,-0.121743,0.418853,-0.864021,0.748571,4.782773,1.081808,0.91852,5.936534,0.400501,0.392079,-0.348095,1.0,,,,,,,,,,,,,,0,gru
3,357,-11.1285,-11.9017,120,0,0,1,0,3.7302,1.933,collision,3.7,0.11477,0.488562,-0.854649,0.843192,4.941789,1.149367,0.706489,5.988795,0.400809,0.389545,-0.371799,1.002814,,,,,,,,,,,,,,0,gru
4,486,-10.5587,-11.5659,129,0,0,1,0,3.6824,1.887,collision,5.4,0.223657,0.471146,-0.860674,0.857493,4.798379,1.182148,0.514659,5.994715,0.392394,0.386601,-0.595857,1.0,-0.119307,0.166063,1.790684,0.004994,0.234517,0.358401,0.199566,0.417652,3.7e-05,,,,,0,gru
5,606,-11.9834,-11.6494,120,0,0,1,0,3.6998,2.031,collision,6.6,-0.177998,0.41115,-0.809454,0.758078,4.592563,1.243526,0.355279,5.994555,0.403277,0.390876,-0.36711,1.0,,,,,,,,,,,,,,0,gru
6,725,-11.9288,-11.696,119,0,0,1,0,3.6646,1.925,collision,7.7,0.136014,0.491,-0.841015,0.867035,4.691875,1.248034,0.47239,5.960063,0.395844,0.390196,-0.328877,1.0,,,,,,,,,,,,,,0,gru
7,841,-12.7789,-11.8507,116,0,0,1,0,3.697,2.097,collision,8.9,-0.187187,0.367487,-0.880538,0.634459,4.424686,1.234295,1.092547,5.979448,0.405043,0.393296,-0.395816,1.0,,,,,,,,,,,,,,0,gru
8,954,-15.2447,-12.2749,113,0,0,1,0,3.7138,2.021,collision,10.3,-0.266295,0.354544,-0.85171,0.836788,4.421701,1.301913,0.486242,5.934731,0.398944,0.39358,-0.522482,1.0,-0.154338,0.172361,1.790966,0.004982,0.219307,0.14726,0.189833,0.349106,4.9e-05,,,,,0,gru
9,1071,-15.0933,-12.5881,117,0,0,1,0,3.6034,2.087,collision,11.4,-0.177626,0.392807,-0.869222,0.788799,4.713506,1.129595,1.47562,5.985349,0.40236,0.397213,-0.473999,1.0,,,,,,,,,,,,,,0,gru
10,1194,-9.9014,-12.3194,123,0,0,1,0,3.7462,1.946,collision,12.6,0.108413,0.495316,-0.837214,0.871006,4.794214,1.184065,0.745219,5.951007,0.406153,0.391925,-0.313752,1.009192,,,,,,,,,,,,,,0,gru
11,1305,-13.8424,-12.6532,111,0,0,1,0,3.6467,1.981,collision,13.7,0.074812,0.477492,-0.86223,0.845773,4.69593,1.201076,0.6666,5.963909,0.403141,0.389874,-0.256564,1.0,,,,,,,,,,,,,,0,gru
12,1429,-9.8605,-12.2321,124,0,0,1,0,3.7505,1.945,collision,15.2,0.07369,0.483355,-0.853572,0.848348,4.672763,1.329207,0.802464,5.982558,0.401901,0.391825,-0.289804,1.009866,-0.14107,0.12525,1.791114,0.00497,0.165875,0.341837,0.119405,0.290471,6.1e-05,,,,,0,gru
13,1549,-12.094,-12.3286,120,0,0,1,0,3.6107,1.919,collision,16.3,0.322161,0.424079,-0.746854,0.869245,4.899251,1.062438,0.895526,5.975056,0.388537,0.384853,-0.492412,1.0,,,,,,,,,,,,,,0,gru
14,1666,-19.8923,-13.262,117,0,0,1,0,3.6521,1.984,collision,17.4,-0.352074,0.327982,-0.862492,0.68632,4.645436,1.177103,1.258119,5.981277,0.379696,0.392595,-0.719288,1.0,,,,,,,,,,,,,,0,gru
15,1789,-11.9412,-13.2578,123,0,0,1,0,3.6821,1.965,collision,18.6,-0.005216,0.489933,-0.871952,0.866511,4.52349,1.247248,1.11647,5.98341,0.399572,0.394133,-0.425476,1.0,,,,,,,,,,,,,,0,gru
16,1914,-10.3448,-13.0994,125,0,0,1,0,3.6242,1.929,collision,20.1,0.24443,0.456889,-0.857299,0.877122,4.698152,1.145907,0.912572,5.989966,0.38573,0.385612,-0.462628,1.0,-0.126635,0.136521,1.791099,0.004958,0.115186,0.30927,0.060234,0.200776,7.3e-05,,,,,0,gru
17,2022,-19.3836,-13.7598,108,0,0,1,0,3.7223,1.939,collision,21.1,-0.313809,0.391213,-0.839644,0.741208,4.432156,1.263438,1.19626,5.975533,0.373427,0.381636,-0.621803,1.0,,,,,,,,,,,,,,0,gru
18,2152,-11.7251,-13.4079,130,0,0,1,0,3.7483,1.845,collision,22.4,0.304534,0.462371,-0.791492,0.883967,4.62122,1.314039,0.23511,5.98781,0.397623,0.393979,-0.688409,1.007659,,,,,,,,,,,,,,0,gru
19,2274,-11.5622,-13.0548,122,0,0,1,0,3.6647,1.921,collision,23.6,0.079026,0.523026,-0.862698,0.86809,4.922332,1.159459,1.283653,5.99145,0.391597,0.390203,-0.386615,1.0,,,,,,,,,,,,,,0,gru
20,2414,-9.2407,-12.9887,140,0,0,1,0,3.6459,1.855,collision,25.2,0.285727,0.475049,-0.834931,0.875071,4.925538,1.088137,1.379298,5.975649,0.37212,0.384756,-0.664227,1.0,-0.112974,0.141192,1.791181,0.004946,0.093246,0.3527,0.027105,0.206089,8.5e-05,,,,,0,gru
