episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,td_error,grad_norm_actor,grad_norm_critic,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,5000,-639.8511,-639.8511,5000,0,0,0,1,1.7876,1.449,max_steps,31.5,0.025486,0.551545,-0.899237,0.896685,2.807376,1.908907,0.002059,5.994009,0.479942,0.442712,-0.504454,1.010196,-2.242503,3.126045,2.350225,0.95207,2.061032,0.231597,2.120785,9.7e-05,9.7e-05,0.95207,-0.146797,0.001093,313,gru
2,7705,-480.2567,-560.0539,2705,0,0,1,0,2.8416,1.881,collision,56.8,-0.014419,0.484973,-0.896235,0.893206,3.414671,1.315828,0.070716,5.940032,0.444219,0.462494,-1.0,1.010284,-2.735643,1.520004,2.359889,0.864922,1.145623,0.05975,3.316081,0.00012,0.00012,0.864922,-0.450268,0.003552,483,gru
3,11435,1202.1196,27.3373,3730,1,1,0,0,0.2993,1.655,goal,77.5,-0.00345,0.527883,-0.893883,0.894182,3.097123,1.678348,0.023053,5.984143,0.502804,0.425984,-0.358082,1.0,-3.614843,0.153246,2.359651,0.78575,0.219733,0.061075,1.697163,0.000142,0.000142,0.78575,-0.753544,0.005037,717,gru
4,16158,-904.6797,-205.667,4723,0,0,1,0,2.0488,1.64,collision,99.3,0.004312,0.526182,-0.898535,0.89902,3.129349,1.737461,0.021913,5.995382,0.449109,0.437081,-0.584363,1.0,-3.225872,0.071494,2.358887,0.713826,0.138756,0.047621,0.206505,0.000165,0.000165,0.713826,-1.056662,0.005158,1013,gru
5,19071,-661.9585,-296.9253,2913,0,0,1,0,2.9763,1.613,collision,116.3,0.018475,0.530834,-0.896301,0.896302,3.029357,1.741088,0.012831,5.982901,0.444975,0.458089,-0.864077,1.0,-2.933464,0.062646,2.359502,0.648485,0.113122,0.044987,0.059222,0.000188,0.000188,0.648485,-1.360194,0.005365,1196,gru
6,23473,139.1775,-224.2415,4402,0,0,1,0,1.0167,1.599,collision,137.1,0.002379,0.53014,-0.89789,0.896553,3.037956,1.769455,0.008758,5.990621,0.450566,0.460126,-1.0,1.0,-2.680289,0.050705,2.36003,0.589125,0.097611,0.034564,0.040027,0.00021,0.00021,0.589125,-1.663726,0.005524,1472,gru
7,27806,661.3318,-97.731,4333,0,0,1,0,0.5151,1.603,collision,158.0,-0.000676,0.527757,-0.896802,0.892044,3.043015,1.771591,0.008114,5.992692,0.487956,0.419884,-0.424493,1.010528,-2.458813,0.059872,2.360177,0.535199,0.092962,0.031349,0.066426,0.000233,0.000233,0.535199,-1.967227,0.005666,1743,gru
8,32079,447.154,-29.6204,4273,0,0,1,0,0.7227,1.601,collision,178.6,-0.008705,0.535062,-0.897841,0.895336,3.055648,1.766301,0.013434,5.983969,0.455255,0.452885,-1.0,1.0,-2.248295,0.050069,2.359795,0.486209,0.082369,0.031439,0.04749,0.000255,0.000255,0.486209,-2.270321,0.005737,2011,gru
9,36456,-204.5296,-49.0547,4377,0,0,1,0,1.2641,1.61,collision,199.3,-0.010811,0.527265,-0.896694,0.897141,3.03764,1.765654,0.017513,5.985906,0.48544,0.423189,-0.587086,1.0,-2.048273,0.044972,2.359775,0.441703,0.074797,0.028842,0.044161,0.000278,0.000278,0.441703,-2.57364,0.005781,2285,gru
10,40000,1195.2238,75.3731,3544,1,1,0,0,0.2871,1.618,goal,218.3,0.005181,0.529848,-0.897291,0.897374,3.052346,1.751274,0.029223,5.993489,0.498422,0.440763,-0.281154,1.0,-1.880769,0.05338,2.359628,0.401271,0.073909,0.030183,0.049516,0.0003,0.0003,0.401271,-2.876851,0.005857,2507,gru
11,43656,1229.1158,262.2698,3656,1,1,0,0,0.2981,1.614,goal,236.6,0.009992,0.531593,-0.898969,0.896429,3.079685,1.746438,0.026749,5.989094,0.492336,0.44785,-0.400916,1.0,-1.728405,0.050887,2.359393,0.36454,0.06742,0.024719,0.0273,0.0003,0.0003,0.36454,-3.179897,0.006038,2736,gru
12,47776,661.4738,376.4428,4120,0,0,1,0,0.515,1.621,collision,256.8,-0.004566,0.530822,-0.893011,0.895903,3.084464,1.744229,0.038735,5.990528,0.459445,0.446326,-1.0,1.0,-1.594628,0.052955,2.359099,0.331171,0.065056,0.021224,0.024589,0.0003,0.0003,0.331171,-3.482881,0.006149,2994,gru
13,52074,710.777,327.3086,4298,0,0,1,0,0.3969,1.622,collision,277.5,0.006462,0.533313,-0.897639,0.89821,3.097789,1.757022,0.01469,5.986057,0.45143,0.457331,-0.999999,1.009058,-1.466584,0.040199,2.358419,0.300857,0.05508,0.019415,0.042626,0.0003,0.0003,0.300857,-3.785372,0.006168,3263,gru
14,56458,-341.1497,383.6616,4384,0,0,1,0,1.3652,1.625,collision,298.4,0.015344,0.524014,-0.896213,0.897949,3.0579,1.74972,0.006624,5.980663,0.474846,0.434036,-0.509691,1.0,-1.348355,0.041969,2.358234,0.273317,0.051623,0.016733,0.017243,0.0003,0.0003,0.273317,-4.088321,0.006142,3537,gru
15,59769,-618.4724,388.0102,3311,0,0,1,0,2.781,1.614,collision,317.2,-0.005493,0.526221,-0.897515,0.895748,3.070891,1.756827,0.023102,5.983735,0.456687,0.449533,-0.725786,1.008946,-1.236779,0.053479,2.358756,0.248299,0.054931,0.018857,0.02231,0.0003,0.0003,0.248299,-4.392255,0.006157,3744,gru
16,64272,-478.5716,326.2353,4503,0,0,1,0,1.5351,1.64,collision,338.4,-0.002023,0.524584,-0.896484,0.897628,3.121571,1.736892,0.029291,5.989909,0.48256,0.429293,-0.647677,1.0,-1.138369,0.040609,2.35787,0.22557,0.046217,0.013374,0.016639,0.0003,0.0003,0.22557,-4.694197,0.00614,4026,gru
17,68468,385.1587,298.618,4196,0,0,1,0,0.7546,1.643,collision,359.0,-0.009288,0.523782,-0.89741,0.893984,3.122432,1.74012,0.017241,5.990541,0.456631,0.452679,-1.0,1.0,-1.055865,0.044613,2.356998,0.204922,0.045036,0.013192,0.012926,0.0003,0.0003,0.204922,-4.995965,0.006076,4289,gru
18,73184,-825.933,171.3093,4716,0,0,1,0,2.1009,1.642,collision,380.7,0.002017,0.523228,-0.895076,0.895516,3.127986,1.732524,0.018315,5.980699,0.432868,0.464232,-1.0,1.010407,-0.973773,0.055407,2.356353,0.186165,0.048131,0.012092,0.012545,0.0003,0.0003,0.186165,-5.297967,0.006025,4584,gru
19,77611,-456.6904,146.0932,4427,0,0,1,0,1.6264,1.664,collision,401.9,0.008097,0.515917,-0.895951,0.899441,3.146695,1.712443,0.017982,5.984851,0.444298,0.469457,-1.0,1.0,-0.898562,0.037267,2.354856,0.169124,0.037446,0.011637,0.011535,0.0003,0.0003,0.169124,-5.598331,0.005952,4861,gru
20,81109,1182.8136,144.8522,3498,1,1,0,0,0.2893,1.683,goal,420.9,0.001332,0.511405,-0.894248,0.890854,3.194583,1.708667,0.02449,5.991783,0.506689,0.430018,-0.235483,1.0,-0.846377,0.068328,2.354645,0.153643,0.051775,0.010686,0.02344,0.0003,0.0003,0.153643,-5.900788,0.005932,5080,gru
21,84647,1214.8069,143.4213,3538,1,1,0,0,0.2966,1.683,goal,439.9,-0.004515,0.518266,-0.8913,0.895101,3.151609,1.677999,0.009266,5.986793,0.498858,0.439459,-0.501087,1.003227,-0.796514,0.064,2.352927,0.139579,0.048047,0.010881,0.014316,0.0003,0.0003,0.139579,-6.200238,0.005887,5302,gru
22,88065,1206.2264,197.8966,3418,1,1,0,0,0.2987,1.678,goal,458.2,-0.002744,0.510329,-0.888801,0.891833,3.136297,1.68748,0.015661,5.984608,0.504176,0.43502,-0.210182,1.0,-0.75436,0.046829,2.351313,0.126802,0.03905,0.00872,0.025513,0.0003,0.0003,0.126802,-6.499642,0.005806,5516,gru
23,92149,632.9543,190.1143,4084,0,0,1,0,0.5188,1.681,collision,478.2,0.01158,0.518619,-0.897687,0.894555,3.197241,1.703882,0.005818,5.990052,0.474074,0.431103,-0.67659,1.00166,-0.711066,0.051644,2.349302,0.115195,0.041367,0.008524,0.01942,0.0003,0.0003,0.115195,-6.79782,0.005739,5772,gru
