episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,td_error,grad_norm_actor,grad_norm_critic,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,4437,-1446.2562,-1446.2562,4437,0,0,1,0,2.1246,1.485,collision,15.0,0.040768,0.55272,-0.89828,0.899337,2.822628,1.834993,0.006334,5.988684,0.466243,0.444382,-0.631281,1.0,-1.185025,1.050041,2.347403,0.49931,1.022095,0.15407,1.843106,6.5e-05,6.5e-05,0.49931,-2.324326,0.001045,278,gru
2,8128,-1168.4329,-1307.3446,3691,0,0,1,0,2.5282,1.55,collision,28.0,-0.019268,0.523493,-0.897816,0.897144,2.746657,1.714201,0.012406,5.979522,0.446,0.461144,-1.0,1.0,-1.260901,0.951269,2.358629,0.497855,0.965677,0.088211,1.835224,8e-05,8e-05,0.497855,-2.341796,0.002963,509,gru
3,11500,-1098.3593,-1237.6828,3372,0,0,1,0,2.7147,1.601,collision,40.4,0.010613,0.531258,-0.8973,0.897126,3.014014,1.757552,0.005927,5.993026,0.441033,0.462914,-1.0,1.0,-1.370933,0.794947,2.359609,0.496106,0.865276,0.051717,1.794633,9.5e-05,9.5e-05,0.496106,-2.354169,0.005263,720,gru
4,15649,246.716,-866.5831,4149,0,0,1,0,0.5362,1.66,collision,54.5,-0.006042,0.533157,-0.898467,0.898017,3.20759,1.733932,0.017234,5.99368,0.460205,0.447283,-1.0,1.003766,-1.671377,0.473779,2.351256,0.494067,0.6171,0.033119,1.780586,0.00011,0.00011,0.494067,-2.361995,0.008336,980,gru
5,19823,340.5199,-625.1625,4174,0,0,1,0,0.4579,1.666,collision,68.6,-0.015884,0.52647,-0.894097,0.896647,3.277008,1.753854,0.015309,5.992549,0.466633,0.44203,-1.0,1.010198,-2.330697,0.147176,2.350279,0.491741,0.247763,0.036395,1.046999,0.000125,0.000125,0.491741,-2.376994,0.010724,1241,gru
6,23909,34.4555,-515.2262,4086,0,0,1,0,0.7761,1.67,collision,82.4,0.007818,0.531132,-0.894543,0.897448,3.322462,1.751394,0.008668,5.988095,0.479656,0.426263,-0.397708,1.0,-2.206508,0.121153,2.344653,0.489133,0.202311,0.03623,0.388275,0.00014,0.00014,0.489133,-2.390663,0.010293,1497,gru
7,28134,-360.1619,-493.0741,4225,0,0,1,0,0.9854,1.728,collision,96.7,-0.051078,0.520473,-0.898776,0.895416,3.482968,1.706161,0.030464,5.993264,0.464228,0.444226,-1.0,1.0,-2.257507,0.085805,2.350067,0.486247,0.153448,0.032092,0.212641,0.000155,0.000155,0.486247,-2.414235,0.01046,1762,gru
8,32291,336.9846,-389.3168,4157,0,0,1,0,0.4203,1.65,collision,110.6,-0.009304,0.531579,-0.893661,0.897316,3.240364,1.76098,0.003089,5.992528,0.466593,0.440206,-1.0,1.0,-2.283308,0.074455,2.353363,0.483088,0.121973,0.026442,0.097614,0.00017,0.00017,0.483088,-2.438349,0.010633,2022,gru
9,36498,403.0421,-301.2769,4207,0,0,1,0,0.3581,1.639,collision,124.7,0.00545,0.531933,-0.895771,0.898429,3.146877,1.736227,0.009664,5.98755,0.455001,0.452635,-0.999998,1.00617,-2.290103,0.055959,2.357151,0.479661,0.097747,0.030003,0.080834,0.000185,0.000185,0.479661,-2.464872,0.010817,2285,gru
10,40741,220.1805,-249.1312,4243,0,0,1,0,0.5847,1.62,collision,138.9,0.003302,0.528647,-0.897163,0.896579,3.108537,1.76061,0.009125,5.978634,0.483491,0.421869,-0.446952,1.0,-2.29014,0.099384,2.359616,0.475973,0.111522,0.038213,0.051371,0.0002,0.0002,0.475973,-2.492491,0.010936,2551,gru
11,44532,-1154.4801,-219.9536,3791,0,0,1,0,2.4625,1.613,collision,152.3,-0.006267,0.522368,-0.894942,0.894409,3.076263,1.778634,0.010508,5.983728,0.462119,0.444211,-0.685538,1.0,-2.273109,0.078615,2.359503,0.47218,0.101656,0.035243,0.06241,0.0002,0.0002,0.47218,-2.519283,0.01086,2788,gru
12,47617,-1058.575,-208.9678,3085,0,0,1,0,2.9404,1.605,collision,164.0,-0.000657,0.532399,-0.899159,0.893906,3.057825,1.746218,0.023954,5.994925,0.440948,0.4623,-1.0,1.011771,-2.263981,0.069273,2.359546,0.468418,0.09352,0.025992,0.058909,0.0002,0.0002,0.468418,-2.546191,0.010785,2981,gru
13,50599,-1055.5217,-204.684,2982,0,0,1,0,2.9774,1.605,collision,175.6,-0.000751,0.519515,-0.894777,0.897898,3.018131,1.773569,0.019158,5.992167,0.440419,0.462515,-1.0,1.0,-2.2535,0.056713,2.359921,0.464685,0.085791,0.03629,0.037096,0.0002,0.0002,0.464685,-2.573356,0.010736,3168,gru
14,54791,435.5059,-185.805,4192,0,0,1,0,0.3117,1.61,collision,189.7,-0.011313,0.525777,-0.897934,0.897179,3.032858,1.755877,0.015044,5.980185,0.463206,0.441604,-1.0,1.0,-2.26688,0.073058,2.361225,0.460982,0.094451,0.028693,0.041272,0.0002,0.0002,0.460982,-2.601245,0.010749,3430,gru
15,59601,-1565.8388,-376.4409,4810,0,0,1,0,2.1913,1.605,collision,205.0,-0.012098,0.531396,-0.896784,0.898795,3.076664,1.767538,0.014518,5.992605,0.462415,0.428729,-0.638299,1.005104,-2.247774,0.102199,2.361085,0.457309,0.109883,0.030364,0.050157,0.0002,0.0002,0.457309,-2.628027,0.010707,3731,gru
16,63827,339.3824,-345.9482,4226,0,0,1,0,0.4293,1.616,collision,219.0,-0.008408,0.526216,-0.897479,0.897821,3.07023,1.76384,0.007989,5.983829,0.458693,0.447788,-1.0,1.0,-2.256841,0.110332,2.359936,0.453665,0.111296,0.029479,0.039356,0.0002,0.0002,0.453665,-2.654006,0.010664,3996,gru
17,67542,-1150.5661,-424.9886,3715,0,0,1,0,2.4691,1.585,collision,232.1,-0.009221,0.53905,-0.897479,0.897965,3.067658,1.773068,0.013666,5.985005,0.445091,0.463157,-1.0,1.0,-2.247123,0.068751,2.360936,0.45005,0.091812,0.026634,0.028606,0.0002,0.0002,0.45005,-2.681686,0.010567,4229,gru
18,71129,886.9217,-369.9949,3587,1,1,0,0,0.2945,1.611,goal,244.9,-0.008206,0.524881,-0.896616,0.898905,3.049114,1.761127,0.021394,5.995171,0.508644,0.429483,-0.307255,1.0,-2.241284,0.060666,2.361074,0.446464,0.085102,0.031955,0.04784,0.0002,0.0002,0.446464,-2.708687,0.010484,4454,gru
19,75331,331.8369,-377.1154,4202,0,0,1,0,0.4997,1.595,collision,259.0,-0.006076,0.532173,-0.896874,0.89904,3.078046,1.79207,0.010089,5.990011,0.464899,0.441493,-1.0,1.0,-2.258388,0.087312,2.360874,0.442906,0.099045,0.024493,0.056726,0.0002,0.0002,0.442906,-2.735414,0.010422,4717,gru
