episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,td_error,grad_norm_actor,grad_norm_critic,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
18,73998,1261.1361,414.7894,3714,1,1,0,0,0.2999,1.611,goal,411.1,-0.016212,0.525523,-0.899204,0.895883,3.020707,1.76515,0.009832,5.998173,0.501533,0.435255,-0.891083,1.0,-2.353432,0.041054,2.358292,0.459648,0.075858,0.030231,0.046837,0.0002,0.0002,0.459648,-2.609375,0.010314,4634,gru
19,78353,37.5303,438.656,4355,0,0,1,0,1.0798,1.616,collision,434.8,0.008653,0.529956,-0.896771,0.896078,3.05143,1.756691,0.011113,5.99337,0.449927,0.459467,-0.999984,1.0,-2.356886,0.034947,2.359897,0.457447,0.074255,0.028353,0.049819,0.0002,0.0002,0.457447,-2.62675,0.01014,4907,gru
20,83078,-914.0129,284.6995,4725,0,0,1,0,2.046,1.61,collision,458.2,0.000726,0.532263,-0.897599,0.897624,3.04585,1.743763,0.008583,5.989669,0.462991,0.433785,-0.648661,1.0,-2.361797,0.058513,2.359607,0.455257,0.084072,0.024003,0.032523,0.0002,0.0002,0.455257,-2.642647,0.009987,5203,gru
21,87607,-382.2152,265.322,4529,0,0,1,0,1.4555,1.586,collision,480.4,-0.009035,0.531605,-0.895344,0.898375,3.006464,1.779732,0.002301,5.985536,0.447971,0.462312,-1.0,1.0,-2.362903,0.044417,2.360056,0.453077,0.077076,0.027366,0.039567,0.0002,0.0002,0.453077,-2.659129,0.009834,5487,gru
22,91965,435.9231,187.2384,4358,0,0,1,0,0.7026,1.596,collision,503.0,0.000711,0.536635,-0.8986,0.893787,3.017134,1.753782,0.016178,5.982576,0.454105,0.454502,-1.0,1.001597,-2.378718,0.024917,2.358591,0.450908,0.065256,0.027447,0.036235,0.0002,0.0002,0.450908,-2.67409,0.009685,5760,gru
23,95752,1215.5996,369.7286,3787,1,1,0,0,0.2986,1.607,goal,522.9,-0.00356,0.532383,-0.899001,0.898146,3.020743,1.756057,0.012286,5.987613,0.491901,0.444498,-0.677107,1.0,-2.390816,0.039267,2.359842,0.448748,0.072335,0.024255,0.030428,0.0002,0.0002,0.448748,-2.691213,0.009515,5997,gru
24,99417,1252.6617,511.7921,3665,1,1,0,0,0.2977,1.598,goal,542.3,0.003259,0.53039,-0.896734,0.896456,2.981737,1.751751,0.003889,5.979973,0.498412,0.441868,-0.248103,1.000524,-2.401379,0.042271,2.360183,0.4466,0.0732,0.027177,0.030169,0.0002,0.0002,0.4466,-2.707616,0.009348,6227,gru
25,103158,1215.6454,513.0815,3741,1,1,0,0,0.2979,1.6,goal,562.4,0.000565,0.53333,-0.891579,0.895898,3.032216,1.74195,0.02034,5.984753,0.486083,0.448424,-0.801043,1.0,-2.41728,0.061133,2.360709,0.444461,0.082372,0.026094,0.039232,0.0002,0.0002,0.444461,-2.72417,0.009168,6461,gru
26,106883,1234.916,554.6885,3725,1,1,0,0,0.2978,1.615,goal,582.5,0.003509,0.528572,-0.898235,0.896713,3.04346,1.735723,0.005322,5.989379,0.50555,0.429365,-0.229443,1.0,-2.428545,0.068366,2.358746,0.442333,0.083907,0.028193,0.023217,0.0002,0.0002,0.442333,-2.738699,0.009009,6694,gru
27,111049,817.271,617.4455,4166,0,0,1,0,0.3436,1.611,collision,604.3,-0.0026,0.529233,-0.897944,0.891204,3.032936,1.748531,0.012137,5.996608,0.478491,0.425561,-0.579336,1.0,-2.443297,0.049706,2.360095,0.440215,0.075628,0.024294,0.022254,0.0002,0.0002,0.440215,-2.755927,0.008815,6955,gru
