episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,3503,-158.285,-158.285,3503,0,0,1,0,0.4069,1.901,collision,9.1,0.017979,0.419469,-0.862582,0.87854,3.247118,1.439205,0.090495,5.920931,0.473914,0.430752,-0.738382,1.0,,,,,,,,,,,,,0,gru
2,6583,211.1308,26.4229,3080,1,1,0,0,0.2904,1.904,goal,18.4,0.012702,0.419353,-0.872701,0.846974,3.192614,1.409526,0.117027,5.961971,0.492608,0.446478,-0.354643,1.0,,,,,,,,,,,,,0,gru
3,10261,-817.9886,-255.0476,3678,0,0,1,0,1.9367,1.892,collision,31.9,0.038712,0.425127,-0.867285,0.878473,3.214615,1.426469,0.146454,5.951694,0.461956,0.446609,-0.625763,1.0,,,,,,,,,,,,,0,gru
4,13326,215.533,-137.4024,3065,1,1,0,0,0.295,1.895,goal,45.9,0.017094,0.43613,-0.877244,0.882841,3.238096,1.39537,0.091575,5.928106,0.50167,0.437333,-0.238724,1.0,-0.014616,5.908267,2.185234,0.009999,3.451288,0.12581,0.389739,0.000185,,,,,0,gru
5,16301,-727.8911,-255.5002,2975,0,0,1,0,2.5844,1.893,collision,56.8,0.00049,0.427295,-0.874095,0.871145,3.240427,1.425414,0.15234,5.951535,0.442468,0.461881,-1.0,1.0,,,,,,,,,,,,,0,gru
6,19595,-773.0295,-341.7551,3294,0,0,1,0,2.4207,1.894,collision,69.0,0.002819,0.425025,-0.876513,0.875096,3.235494,1.431531,0.076113,5.880233,0.443488,0.462689,-1.0,1.001885,,,,,,,,,,,,,0,gru
7,23278,-410.5105,-351.5773,3683,0,0,1,0,0.843,1.894,collision,81.4,0.000977,0.427307,-0.888683,0.856001,3.219488,1.428019,0.096827,5.921263,0.484191,0.422471,-0.382093,1.007157,,,,,,,,,,,,,0,gru
8,26932,-410.8131,-358.9817,3654,0,0,1,0,0.9026,1.901,collision,96.0,-0.012019,0.430263,-0.878018,0.876063,3.238409,1.42537,0.113573,5.940476,0.457733,0.449759,-1.0,1.0,0.038069,3.863777,2.186432,0.009996,2.142786,0.318752,0.728585,0.000245,,,,,0,gru
9,30606,-620.7433,-388.0664,3674,0,0,1,0,1.2521,1.9,collision,109.1,0.007521,0.425221,-0.867966,0.872318,3.238518,1.422488,0.103209,5.939543,0.477512,0.431472,-0.50924,1.0,,,,,,,,,,,,,0,gru
10,34554,-803.433,-429.603,3948,0,0,1,0,1.5254,1.9,collision,121.7,-0.031394,0.427457,-0.86969,0.876749,3.290357,1.425299,0.076692,5.928798,0.455439,0.454777,-1.0,1.005501,,,,,,,,,,,,,0,gru
11,38260,-434.1543,-457.19,3706,0,0,1,0,0.8897,1.887,collision,134.1,0.006403,0.435184,-0.866423,0.876001,3.224993,1.43224,0.087397,5.966896,0.484066,0.423065,-0.506593,1.005811,,,,,,,,,,,,,0,gru
12,41396,-751.0896,-553.412,3136,0,0,1,0,2.461,1.896,collision,151.8,0.010873,0.430878,-0.876477,0.855974,3.240855,1.428484,0.107739,5.944896,0.461083,0.445399,-0.624829,1.00359,0.0376,3.407392,2.182864,0.009994,1.695976,0.529829,1.071693,0.000305,,,,,0,gru
13,44749,-782.8351,-549.8967,3353,0,0,1,0,2.3096,1.88,collision,166.2,0.011001,0.430478,-0.865398,0.860743,3.196674,1.441664,0.016341,5.928813,0.463323,0.44455,-0.611691,1.0,,,,,,,,,,,,,0,gru
14,48586,-544.862,-625.9362,3837,0,0,1,0,1.0888,1.867,collision,179.4,0.031722,0.42463,-0.864295,0.875012,3.120037,1.438209,0.053421,5.920677,0.467456,0.441439,-0.678295,1.0,,,,,,,,,,,,,0,gru
15,51774,163.152,-536.8318,3188,1,1,0,0,0.2791,1.86,goal,187.4,0.021913,0.427486,-0.869346,0.881777,3.119243,1.449636,0.10406,5.944479,0.499795,0.439769,-0.392045,1.002646,,,,,,,,,,,,,0,gru
