global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
13326,4,0.059151,4.909563,2.19051,0.009999,2.998384,0.059672,0.11212,0.000185,,,,,gru
13326,4,-0.008768,4.444229,2.153953,0.009999,2.715517,0.046353,0.301435,0.000185,,,,,gru
13326,4,-0.048133,4.163893,2.197948,0.009999,2.607562,0.034673,0.445082,0.000185,,,,,gru
13326,4,0.02717,7.737021,2.186944,0.009999,4.727319,0.119777,0.279847,0.000185,,,,,gru
13326,4,-0.072447,3.764292,2.181629,0.009999,2.371229,0.025017,0.432788,0.000185,,,,,gru
13326,4,0.000261,10.376507,2.222917,0.009999,6.104445,0.096209,0.285988,0.000185,,,,,gru
13326,4,-0.112472,6.868785,2.175381,0.009999,4.256999,0.103619,0.277027,0.000185,,,,,gru
13326,4,-0.043837,3.702341,2.16952,0.009999,2.336311,0.027747,0.37965,0.000185,,,,,gru
13326,4,0.00359,4.511721,2.22007,0.009999,2.758046,0.04248,0.27275,0.000185,,,,,gru
13326,4,-0.005334,4.966763,2.226477,0.009999,3.280231,0.080517,0.327173,0.000185,,,,,gru
13326,4,0.000666,5.959637,2.188074,0.009999,3.689153,0.139538,0.328396,0.000185,,,,,gru
13326,4,0.048355,12.246472,2.175228,0.009999,6.691,0.076656,0.335604,0.000185,,,,,gru
13326,4,0.047948,10.426223,2.176411,0.009999,6.47205,0.106227,0.306808,0.000185,,,,,gru
13326,4,-0.017108,7.393275,2.165756,0.009999,2.904481,0.072935,0.374772,0.000185,,,,,gru
13326,4,0.011327,4.593225,2.182231,0.009999,2.87408,0.049486,0.36457,0.000185,,,,,gru
13326,4,-0.040348,9.097512,2.169199,0.009999,5.502629,0.146507,0.404153,0.000185,,,,,gru
13326,4,0.026931,6.854553,2.193335,0.009999,4.297217,0.141127,0.440571,0.000185,,,,,gru
13326,4,-0.06126,6.388207,2.188081,0.009999,3.892949,0.155513,0.278072,0.000185,,,,,gru
13326,4,0.048374,9.924919,2.191563,0.009999,5.248919,0.067384,0.28672,0.000185,,,,,gru
13326,4,-0.020431,3.432271,2.236314,0.009999,2.17755,0.020018,0.351886,0.000185,,,,,gru
13326,4,0.061733,5.529679,2.148272,0.009999,3.433133,0.094563,0.379023,0.000185,,,,,gru
13326,4,0.012673,8.35026,2.20933,0.009999,3.220273,0.115014,0.35616,0.000185,,,,,gru
13326,4,-0.103373,7.368242,2.170046,0.009999,4.510818,0.074638,0.396709,0.000185,,,,,gru
13326,4,-0.024267,3.657438,2.178961,0.009999,2.315812,0.041041,0.426441,0.000185,,,,,gru
13326,4,-0.026359,3.92268,2.188431,0.009999,2.441057,0.088476,0.464534,0.000185,,,,,gru
13326,4,-0.0623,6.584271,2.19116,0.009999,4.094604,0.07548,0.306711,0.000185,,,,,gru
13326,4,-0.160566,3.621872,2.16049,0.009999,2.260601,0.157161,0.776466,0.000185,,,,,gru
13326,4,0.040219,4.651162,2.212949,0.009999,2.830607,0.077663,0.352198,0.000185,,,,,gru
13326,4,-0.125639,5.195109,2.197537,0.009999,3.24955,0.182223,0.522558,0.000185,,,,,gru
13326,4,-0.048741,3.467848,2.156968,0.009999,2.190753,0.085347,0.445812,0.000185,,,,,gru
13326,4,-0.03327,10.379208,2.167955,0.009999,6.123692,0.250397,0.454256,0.000185,,,,,gru
13326,4,0.071213,7.337907,2.195363,0.009999,4.511181,0.116769,0.542369,0.000185,,,,,gru
13326,4,0.009114,3.767583,2.208088,0.009999,2.342829,0.083694,0.355796,0.000185,,,,,gru
13326,4,-0.011605,3.503701,2.174833,0.009999,2.220277,0.070297,0.422284,0.000185,,,,,gru
13326,4,-0.079036,3.136661,2.191849,0.009999,2.039639,0.054713,0.687725,0.000185,,,,,gru
13326,4,-0.081086,7.472466,2.188833,0.009999,4.522603,0.136906,0.424177,0.000185,,,,,gru
13326,4,-0.017065,6.913095,2.177894,0.009999,2.452681,0.100696,0.53051,0.000185,,,,,gru
13326,4,-0.024151,3.352367,2.211835,0.009999,2.083585,0.036853,0.577098,0.000185,,,,,gru
13326,4,0.034661,4.146735,2.182871,0.009999,2.523358,0.030834,0.29623,0.000185,,,,,gru
13326,4,-0.12932,7.517269,2.198203,0.009999,3.846166,0.142935,0.54151,0.000185,,,,,gru
13326,4,-0.027099,3.213688,2.168527,0.009999,2.025402,0.041501,0.441809,0.000185,,,,,gru
13326,4,0.002021,6.789412,2.193521,0.009999,2.495733,0.071968,0.352419,0.000185,,,,,gru
13326,4,0.269113,17.207605,2.20167,0.009999,9.520445,0.511921,0.205295,0.000185,,,,,gru
13326,4,-0.062103,2.865242,2.177479,0.009999,1.768416,0.053311,0.377356,0.000185,,,,,gru
13326,4,-0.03409,2.328299,2.223746,0.009999,1.492382,0.046636,0.056221,0.000185,,,,,gru
13326,4,-0.006777,2.960588,2.20584,0.009999,1.785189,0.219045,0.171145,0.000185,,,,,gru
13326,4,-0.029038,6.51393,2.164073,0.009999,4.12836,0.250305,0.568545,0.000185,,,,,gru
13326,4,0.031067,6.133125,2.185687,0.009999,3.723983,0.386061,0.186321,0.000185,,,,,gru
13326,4,0.017119,3.444606,2.175955,0.009999,2.112823,0.043666,0.752099,0.000185,,,,,gru
13326,4,-0.149604,11.994925,2.173561,0.009999,7.685661,0.730746,0.380007,0.000185,,,,,gru
13326,4,0.079437,4.895617,2.163175,0.009999,3.034227,0.094946,0.690341,0.000185,,,,,gru
13326,4,-0.010613,2.943385,2.14223,0.009999,1.741634,0.221149,0.453677,0.000185,,,,,gru
13326,4,-0.000151,3.184586,2.176997,0.009999,1.933344,0.208599,0.437978,0.000185,,,,,gru
13326,4,-0.015018,2.934471,2.146746,0.009999,1.802677,0.28671,0.128713,0.000185,,,,,gru
26932,8,-0.032704,7.106772,2.158708,0.009996,4.243341,0.389767,1.415043,0.000245,,,,,gru
26932,8,0.064949,6.323736,2.1629,0.009996,2.87007,0.134895,1.421276,0.000245,,,,,gru
26932,8,0.076051,3.53946,2.185667,0.009996,2.037639,0.055806,1.697327,0.000245,,,,,gru
26932,8,0.006655,7.080889,2.200906,0.009996,4.264478,0.168106,1.442683,0.000245,,,,,gru
26932,8,-0.004338,4.934308,2.194733,0.009996,2.948455,0.369742,1.600236,0.000245,,,,,gru
26932,8,0.044992,7.30435,2.17026,0.009996,4.08317,0.149787,1.390492,0.000245,,,,,gru
26932,8,-0.028419,5.373309,2.175505,0.009996,3.226396,0.157505,1.545212,0.000245,,,,,gru
26932,8,-0.078567,8.078626,2.207528,0.009996,4.944028,0.42779,1.427115,0.000245,,,,,gru
26932,8,0.11955,2.667032,2.176391,0.009996,1.57956,0.309257,1.360795,0.000245,,,,,gru
26932,8,0.035936,6.162876,2.187525,0.009996,3.392282,0.551521,1.571023,0.000245,,,,,gru
26932,8,0.111274,2.183849,2.206516,0.009996,1.306106,0.266981,1.193326,0.000245,,,,,gru
26932,8,0.074059,2.41168,2.170758,0.009996,1.43948,0.544953,0.936267,0.000245,,,,,gru
26932,8,0.023104,3.412333,2.167103,0.009996,2.07395,0.203848,0.24117,0.000245,,,,,gru
26932,8,0.065913,1.600927,2.213941,0.009996,0.930087,0.276994,0.008712,0.000245,,,,,gru
26932,8,0.129149,2.163489,2.186966,0.009996,1.282283,0.41679,1.081329,0.000245,,,,,gru
26932,8,0.010797,3.718843,2.160559,0.009996,2.24681,0.427567,0.873041,0.000245,,,,,gru
26932,8,-0.01629,4.328722,2.18985,0.009996,1.737373,1.087418,1.03513,0.000245,,,,,gru
26932,8,-0.003761,3.779869,2.160013,0.009996,2.012354,0.18629,1.513732,0.000245,,,,,gru
26932,8,0.01788,5.654746,2.162511,0.009996,3.379512,0.364838,1.639052,0.000245,,,,,gru
26932,8,-0.003816,6.107979,2.160448,0.009996,2.901632,0.310788,1.475891,0.000245,,,,,gru
26932,8,0.09858,1.901405,2.154079,0.009996,1.274278,0.221953,2.074023,0.000245,,,,,gru
26932,8,0.1129,2.005597,2.231755,0.009996,1.250887,0.208928,1.623286,0.000245,,,,,gru
26932,8,-0.054138,5.496249,2.180013,0.009996,3.378302,1.239725,0.838111,0.000245,,,,,gru
