episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,td_error,grad_norm_actor,grad_norm_critic,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,4437,-2351.7471,-2351.7471,4437,0,0,1,0,2.1246,1.485,collision,21.6,0.040768,0.55272,-0.89828,0.899337,2.822628,1.834993,0.006334,5.988684,0.466243,0.444382,-0.631281,1.0,-1.646089,1.780862,2.345479,0.699704,1.398268,0.217804,1.99169,6.5e-05,6.5e-05,0.699704,-1.265852,0.000284,278,gru
2,7878,-1803.6361,-2077.6916,3441,0,0,1,0,2.835,1.52,collision,39.1,-0.001753,0.531564,-0.898435,0.896041,2.682156,1.708648,0.01247,5.983596,0.443634,0.462567,-1.0,1.006557,-1.705651,1.745228,2.355915,0.699091,1.376914,0.14671,2.00438,8e-05,8e-05,0.699091,-1.272644,0.000735,494,gru
3,11518,400.2839,-1251.6998,3640,1,1,0,0,0.2955,1.556,goal,56.7,0.00864,0.535992,-0.897303,0.896122,2.914767,1.783641,0.010243,5.984902,0.500421,0.438948,-0.165317,1.0,-1.779636,1.797175,2.360595,0.698352,1.397812,0.084822,2.084752,9.5e-05,9.5e-05,0.698352,-1.278031,0.001265,722,gru
4,15740,-399.0342,-1038.5334,4222,0,0,1,0,0.637,1.642,collision,76.0,-0.033907,0.518887,-0.893072,0.896735,3.104934,1.737234,0.003403,5.994683,0.464112,0.443558,-1.0,1.0,-1.891591,1.666079,2.358586,0.697488,1.323823,0.057485,2.331006,0.00011,0.00011,0.697488,-1.281659,0.001926,986,gru
5,20024,-795.767,-989.9801,4284,0,0,1,0,0.9808,1.633,collision,95.8,0.009931,0.524925,-0.894011,0.897353,3.146217,1.776814,0.007314,5.984813,0.448539,0.462169,-1.0,1.0,-2.190273,1.08736,2.354883,0.6965,1.004157,0.046629,3.010205,0.000125,0.000125,0.6965,-1.285311,0.002787,1254,gru
6,24237,-1016.0901,-994.3318,4213,0,0,1,0,1.1807,1.631,collision,115.2,0.003396,0.532786,-0.897532,0.897394,3.197439,1.769318,0.005615,5.985797,0.481273,0.425635,-0.412141,1.0,-3.155884,0.303004,2.354869,0.695388,0.422551,0.050132,2.423494,0.00014,0.00014,0.695388,-1.290932,0.003737,1518,gru
7,28366,-53.2761,-859.8952,4129,0,0,1,0,0.3145,1.64,collision,133.3,0.005571,0.531805,-0.895848,0.895683,3.206986,1.748484,0.016873,5.999063,0.477094,0.428117,-0.691279,1.0,-3.200108,0.205196,2.354265,0.694153,0.31808,0.041781,1.697113,0.000155,0.000155,0.694153,-1.296977,0.00369,1777,gru
8,31993,366.4277,-706.6049,3627,1,1,0,0,0.2952,1.642,goal,150.6,-0.001342,0.532371,-0.897217,0.894974,3.205098,1.773621,0.013937,5.982654,0.503732,0.434507,-0.161534,1.007239,-3.139042,0.192463,2.349993,0.692796,0.263844,0.053692,0.648439,0.00017,0.00017,0.692796,-1.302315,0.003788,2004,gru
9,36167,-762.6301,-712.8299,4174,0,0,1,0,0.9142,1.643,collision,171.2,-0.004909,0.532034,-0.89376,0.896631,3.226777,1.765677,0.017471,5.9922,0.448027,0.459005,-1.0,1.0,-3.125223,0.118295,2.355508,0.691317,0.193529,0.045395,0.338763,0.000185,0.000185,0.691317,-1.311885,0.003892,2265,gru
10,40291,-87.315,-650.2784,4124,0,0,1,0,0.4041,1.628,collision,187.9,-0.003084,0.526697,-0.89677,0.89807,3.15339,1.779062,0.028256,5.992568,0.478597,0.427279,-0.548452,1.0,-3.154272,0.195261,2.353664,0.689716,0.215855,0.042608,0.251657,0.0002,0.0002,0.689716,-1.319387,0.004001,2523,gru
