episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
24,79465,-487.3987,-427.4221,2725,0,0,1,0,2.6394,1.912,collision,259.5,0.078324,0.432789,-0.862532,0.868626,3.368704,1.411764,0.078362,5.9395,0.446692,0.462411,-0.985003,1.007311,0.035418,1.738182,2.171639,0.009987,1.509391,0.453264,1.272923,0.000485,,,,,0,gru
25,83465,-489.8799,-421.2342,4000,0,0,0,1,1.4,1.885,max_steps,271.6,0.086606,0.433735,-0.869973,0.885556,3.243581,1.415502,0.067881,5.899113,0.44928,0.470269,-1.0,1.006869,,,,,,,,,,,,,0,gru
26,87277,-597.0545,-427.5089,3812,0,0,1,0,1.5232,1.9,collision,283.0,0.096366,0.421227,-0.866121,0.870563,3.2332,1.396996,0.099462,5.89088,0.424855,0.48288,-1.0,1.0,,,,,,,,,,,,,0,gru
27,89522,-542.8924,-431.9421,2245,0,0,1,0,3.3327,1.897,collision,289.5,0.137933,0.41971,-0.870194,0.87847,3.33719,1.414052,0.118109,5.874715,0.388838,0.499685,-1.0,1.085115,,,,,,,,,,,,,0,gru
28,92028,-494.1963,-477.1337,2506,0,0,1,0,2.7669,1.9,collision,298.8,0.111951,0.418266,-0.848718,0.880867,3.279993,1.452084,0.080567,5.95507,0.425804,0.473041,-1.0,1.0,0.034003,1.460543,2.164088,0.009984,1.241974,0.574221,1.692576,0.0005,,,,,0,gru
29,94524,-541.6489,-480.8782,2496,0,0,1,0,2.995,1.913,collision,306.0,0.133506,0.410586,-0.853929,0.874493,3.375912,1.435234,0.024576,5.951563,0.402799,0.491101,-1.0,1.000072,,,,,,,,,,,,,0,gru
30,97052,-551.1419,-482.6668,2528,0,0,1,0,2.9755,1.911,collision,313.6,0.134756,0.416102,-0.867093,0.885319,3.393171,1.436607,0.146667,5.92604,0.39835,0.491617,-1.0,1.0,,,,,,,,,,,,,0,gru
31,100799,-618.253,-536.5436,3747,0,0,1,0,1.711,1.889,collision,324.8,0.116133,0.425213,-0.883906,0.876317,3.276721,1.423827,0.055266,5.934186,0.413738,0.490018,-1.0,1.003991,,,,,,,,,,,,,0,gru
32,104183,-551.828,-536.0328,3384,0,0,1,0,1.8836,1.887,collision,336.0,0.118563,0.427116,-0.880994,0.877253,3.269479,1.408463,0.118311,5.940945,0.42622,0.478318,-1.0,1.0,0.037368,1.527043,2.152443,0.009982,1.217073,0.32509,1.643317,0.0005,,,,,0,gru
33,107472,-528.7527,-540.3046,3289,0,0,1,0,2.0747,1.88,collision,345.9,0.078122,0.432381,-0.882317,0.88636,3.200665,1.419386,0.032308,5.938582,0.458458,0.454829,-0.988464,1.0,,,,,,,,,,,,,0,gru
34,111472,-473.9784,-538.9626,4000,0,0,0,1,1.3144,1.888,max_steps,358.3,0.082781,0.427973,-0.873318,0.881633,3.224671,1.42481,0.087194,5.965064,0.437191,0.471927,-1.0,1.0,,,,,,,,,,,,,0,gru
35,115472,-464.0835,-536.383,4000,0,0,0,1,1.3498,1.885,max_steps,370.6,0.072916,0.42423,-0.864018,0.887908,3.197497,1.411234,0.07136,5.926335,0.460182,0.457382,-0.923466,1.005654,,,,,,,,,,,,,0,gru
36,119200,-116.1657,-488.2941,3728,0,0,1,0,0.7379,1.882,collision,383.8,0.053489,0.434267,-0.856193,0.871945,3.176834,1.398691,0.094267,5.951251,0.457101,0.447452,-0.836558,1.0,0.030796,1.335501,2.176136,0.00998,0.89291,0.468547,0.751269,0.0005,,,,,0,gru
